source,date,datetime,year,month,month_name,day_of_week,day_name,hour,coffee_name,money,payment_method,cash_type,card
index_1,2024-03-01,2024-03-01 10:15:50.520,2024,3,March,4,Friday,10,Latte,38.7,card,card,ANON-0000-0000-0001
index_1,2024-03-01,2024-03-01 12:19:22.539,2024,3,March,4,Friday,12,Hot Chocolate,38.7,card,card,ANON-0000-0000-0002
index_1,2024-03-01,2024-03-01 12:20:18.089,2024,3,March,4,Friday,12,Hot Chocolate,38.7,card,card,ANON-0000-0000-0002
index_1,2024-03-01,2024-03-01 13:46:33.006,2024,3,March,4,Friday,13,Americano,28.9,card,card,ANON-0000-0000-0003
index_1,2024-03-01,2024-03-01 13:48:14.626,2024,3,March,4,Friday,13,Latte,38.7,card,card,ANON-0000-0000-0004
index_1,2024-03-01,2024-03-01 15:39:47.726,2024,3,March,4,Friday,15,Americano with Milk,33.8,card,card,ANON-0000-0000-0005
index_1,2024-03-01,2024-03-01 16:19:02.756,2024,3,March,4,Friday,16,Hot Chocolate,38.7,card,card,ANON-0000-0000-0006
index_1,2024-03-01,2024-03-01 18:39:03.580,2024,3,March,4,Friday,18,Americano with Milk,33.8,card,card,ANON-0000-0000-0007
index_1,2024-03-01,2024-03-01 19:22:01.762,2024,3,March,4,Friday,19,Cocoa,38.7,card,card,ANON-0000-0000-0008
index_1,2024-03-01,2024-03-01 19:23:15.887,2024,3,March,4,Friday,19,Americano with Milk,33.8,card,card,ANON-0000-0000-0008
index_1,2024-03-01,2024-03-01 19:29:17.391,2024,3,March,4,Friday,19,Americano with Milk,33.8,card,card,ANON-0000-0000-0009
index_1,2024-03-02,2024-03-02 10:22:06.957,2024,3,March,5,Saturday,10,Americano,28.9,card,card,ANON-0000-0000-0010
index_1,2024-03-02,2024-03-02 10:30:35.668,2024,3,March,5,Saturday,10,Latte,40.0,cash,cash,CASH
index_1,2024-03-02,2024-03-02 10:41:41.249,2024,3,March,5,Saturday,10,Americano with Milk,33.8,card,card,ANON-0000-0000-0011
index_1,2024-03-02,2024-03-02 11:59:45.484,2024,3,March,5,Saturday,11,Americano with Milk,33.8,card,card,ANON-0000-0000-0012
index_1,2024-03-02,2024-03-02 14:38:35.535,2024,3,March,5,Saturday,14,Americano,28.9,card,card,ANON-0000-0000-0013
index_1,2024-03-02,2024-03-02 16:37:24.475,2024,3,March,5,Saturday,16,Americano with Milk,33.8,card,card,ANON-0000-0000-0014
index_1,2024-03-02,2024-03-02 17:34:54.969,2024,3,March,5,Saturday,17,Americano,28.9,card,card,ANON-0000-0000-0004
index_1,2024-03-03,2024-03-03 10:10:43.981,2024,3,March,6,Sunday,10,Latte,40.0,cash,cash,CASH
index_1,2024-03-03,2024-03-03 10:27:18.561,2024,3,March,6,Sunday,10,Latte,38.7,card,card,ANON-0000-0000-0015
index_1,2024-03-03,2024-03-03 11:33:56.118,2024,3,March,6,Sunday,11,Cortado,28.9,card,card,ANON-0000-0000-0016
index_1,2024-03-03,2024-03-03 12:26:56.098,2024,3,March,6,Sunday,12,Americano,28.9,card,card,ANON-0000-0000-0012
index_1,2024-03-03,2024-03-03 13:09:36.321,2024,3,March,6,Sunday,13,Hot Chocolate,38.7,card,card,ANON-0000-0000-0017
index_1,2024-03-03,2024-03-03 17:06:40.271,2024,3,March,6,Sunday,17,Cocoa,38.7,card,card,ANON-0000-0000-0018
index_1,2024-03-03,2024-03-03 17:08:45.895,2024,3,March,6,Sunday,17,Cortado,28.9,card,card,ANON-0000-0000-0019
index_1,2024-03-03,2024-03-03 18:03:23.369,2024,3,March,6,Sunday,18,Americano with Milk,33.8,card,card,ANON-0000-0000-0020
index_1,2024-03-03,2024-03-03 18:04:27.946,2024,3,March,6,Sunday,18,Americano with Milk,33.8,card,card,ANON-0000-0000-0020
index_1,2024-03-03,2024-03-03 18:08:04.959,2024,3,March,6,Sunday,18,Hot Chocolate,38.7,card,card,ANON-0000-0000-0020
index_1,2024-03-04,2024-03-04 10:03:51.994,2024,3,March,0,Monday,10,Latte,38.7,card,card,ANON-0000-0000-0001
index_1,2024-03-04,2024-03-04 10:54:50.958,2024,3,March,0,Monday,10,Latte,38.7,card,card,ANON-0000-0000-0021
index_1,2024-03-04,2024-03-04 11:05:16.184,2024,3,March,0,Monday,11,Americano with Milk,33.8,card,card,ANON-0000-0000-0012
index_1,2024-03-04,2024-03-04 14:04:37.734,2024,3,March,0,Monday,14,Espresso,24.0,card,card,ANON-0000-0000-0022
index_1,2024-03-05,2024-03-05 09:59:52.651,2024,3,March,1,Tuesday,9,Latte,38.7,card,card,ANON-0000-0000-0001
index_1,2024-03-05,2024-03-05 14:34:55.963,2024,3,March,1,Tuesday,14,Latte,38.7,card,card,ANON-0000-0000-0023
index_1,2024-03-05,2024-03-05 17:34:06.043,2024,3,March,1,Tuesday,17,Latte,38.7,card,card,ANON-0000-0000-0024
index_1,2024-03-05,2024-03-05 17:35:25.021,2024,3,March,1,Tuesday,17,Hot Chocolate,38.7,card,card,ANON-0000-0000-0025
index_1,2024-03-05,2024-03-05 17:36:28.571,2024,3,March,1,Tuesday,17,Cocoa,38.7,card,card,ANON-0000-0000-0026
index_1,2024-03-05,2024-03-05 17:37:13.659,2024,3,March,1,Tuesday,17,Hot Chocolate,38.7,card,card,ANON-0000-0000-0027
index_1,2024-03-05,2024-03-05 17:38:09.354,2024,3,March,1,Tuesday,17,Hot Chocolate,38.7,card,card,ANON-0000-0000-0009
index_1,2024-03-05,2024-03-05 17:56:15.776,2024,3,March,1,Tuesday,17,Cortado,28.9,card,card,ANON-0000-0000-0028
index_1,2024-03-05,2024-03-05 18:01:31.242,2024,3,March,1,Tuesday,18,Hot Chocolate,38.7,card,card,ANON-0000-0000-0028
index_1,2024-03-06,2024-03-06 12:30:27.089,2024,3,March,2,Wednesday,12,Americano with Milk,35.0,cash,cash,CASH
index_1,2024-03-06,2024-03-06 13:24:07.667,2024,3,March,2,Wednesday,13,Americano,28.9,card,card,ANON-0000-0000-0012
index_1,2024-03-06,2024-03-06 13:25:14.351,2024,3,March,2,Wednesday,13,Cortado,28.9,card,card,ANON-0000-0000-0012
index_1,2024-03-06,2024-03-06 14:52:01.761,2024,3,March,2,Wednesday,14,Cappuccino,38.7,card,card,ANON-0000-0000-0029
index_1,2024-03-06,2024-03-06 14:53:18.344,2024,3,March,2,Wednesday,14,Cappuccino,38.7,card,card,ANON-0000-0000-0029
index_1,2024-03-07,2024-03-07 10:08:58.945,2024,3,March,3,Thursday,10,Latte,40.0,cash,cash,CASH
index_1,2024-03-07,2024-03-07 10:18:40.543,2024,3,March,3,Thursday,10,Hot Chocolate,38.7,card,card,ANON-0000-0000-0030
index_1,2024-03-07,2024-03-07 11:03:58.976,2024,3,March,3,Thursday,11,Latte,38.7,card,card,ANON-0000-0000-0031
index_1,2024-03-07,2024-03-07 11:25:43.977,2024,3,March,3,Thursday,11,Latte,40.0,cash,cash,CASH
index_1,2024-03-07,2024-03-07 15:40:22.606,2024,3,March,3,Thursday,15,Americano,28.9,card,card,ANON-0000-0000-0032
index_1,2024-03-07,2024-03-07 15:41:28.784,2024,3,March,3,Thursday,15,Americano with Milk,33.8,card,card,ANON-0000-0000-0033
index_1,2024-03-08,2024-03-08 10:34:41.283,2024,3,March,4,Friday,10,Cortado,28.9,card,card,ANON-0000-0000-0012
index_1,2024-03-08,2024-03-08 12:22:28.653,2024,3,March,4,Friday,12,Cappuccino,38.7,card,card,ANON-0000-0000-0034
index_1,2024-03-08,2024-03-08 13:53:02.042,2024,3,March,4,Friday,13,Americano,28.9,card,card,ANON-0000-0000-0035
index_1,2024-03-08,2024-03-08 14:44:12.686,2024,3,March,4,Friday,14,Americano,28.9,card,card,ANON-0000-0000-0012
index_1,2024-03-08,2024-03-08 14:45:11.048,2024,3,March,4,Friday,14,Americano,28.9,card,card,ANON-0000-0000-0033
index_1,2024-03-08,2024-03-08 14:46:11.155,2024,3,March,4,Friday,14,Americano with Milk,33.8,card,card,ANON-0000-0000-0012
index_1,2024-03-08,2024-03-08 18:57:51.451,2024,3,March,4,Friday,18,Latte,38.7,card,card,ANON-0000-0000-0036
index_1,2024-03-08,2024-03-08 18:59:24.941,2024,3,March,4,Friday,18,Latte,38.7,card,card,ANON-0000-0000-0037
index_1,2024-03-09,2024-03-09 11:49:37.292,2024,3,March,5,Saturday,11,Hot Chocolate,40.0,cash,cash,CASH
index_1,2024-03-09,2024-03-09 12:05:15.559,2024,3,March,5,Saturday,12,Espresso,24.0,card,card,ANON-0000-0000-0038
index_1,2024-03-09,2024-03-09 12:07:38.275,2024,3,March,5,Saturday,12,Americano,28.9,card,card,ANON-0000-0000-0039
index_1,2024-03-09,2024-03-09 12:09:47.714,2024,3,March,5,Saturday,12,Cappuccino,38.7,card,card,ANON-0000-0000-0012
index_1,2024-03-09,2024-03-09 12:13:03.521,2024,3,March,5,Saturday,12,Americano,28.9,card,card,ANON-0000-0000-0040
index_1,2024-03-09,2024-03-09 12:14:26.458,2024,3,March,5,Saturday,12,Americano,28.9,card,card,ANON-0000-0000-0040
index_1,2024-03-09,2024-03-09 13:09:22.229,2024,3,March,5,Saturday,13,Latte,38.7,card,card,ANON-0000-0000-0041
